path,path_length,fidelity_rate,loss
"[(6, 7), (7, 7), (7, 6), (8, 6), (8, 5)]",5,10.15625,66.796875
"[(1, 4), (2, 4), (2, 3), (3, 3), (3, 2), (4, 2), (4, 1), (5, 1), (5, 0), (6, 0)]",10,3.90625,87.5
"[(0, 5), (1, 5), (1, 6), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6)]",8,3.90625,83.59375
"[(8, 3), (7, 3), (7, 4), (6, 4), (6, 5), (5, 5), (5, 6), (4, 6), (4, 7), (3, 7), (3, 8)]",11,2.734375,89.0625
"[(5, 8), (4, 8), (4, 7), (4, 6), (4, 5), (4, 4)]",6,4.6875,75.0
"[(8, 2), (7, 2), (7, 3), (6, 3), (6, 4), (5, 4), (5, 5), (4, 5), (4, 6), (3, 6), (2, 6), (1, 6), (0, 6)]",13,2.34375,91.015625
"[(5, 7), (4, 7), (4, 6), (3, 6), (2, 6), (1, 6), (0, 6)]",7,5.46875,80.078125
"[(0, 4), (1, 4), (1, 5), (2, 5), (3, 5)]",5,8.984375,66.796875
"[(7, 8), (6, 8), (6, 9), (5, 9), (4, 9)]",5,7.421875,66.796875
"[(2, 3), (3, 3), (3, 4), (3, 5)]",4,12.890625,50.0
"[(2, 0), (3, 0), (3, 1), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6)]",9,5.859375,85.9375
"[(2, 9), (3, 9), (3, 8), (4, 8), (5, 8), (6, 8)]",6,6.640625,75.0
"[(3, 5), (4, 5), (4, 6), (5, 6), (6, 6), (7, 6), (8, 6)]",7,2.734375,80.078125
"[(0, 0), (1, 0), (1, 1), (2, 1), (2, 2), (3, 2), (3, 3), (4, 3), (4, 4), (5, 4), (5, 5), (6, 5), (6, 6), (6, 7)]",14,3.125,91.796875
"[(1, 0), (2, 0), (2, 1), (3, 1), (3, 2), (4, 2), (4, 3), (5, 3), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4)]",13,2.734375,91.015625
"[(4, 1), (5, 1), (5, 2), (6, 2), (6, 3), (7, 3), (8, 3)]",7,5.078125,80.078125
"[(1, 9), (2, 9), (2, 8), (3, 8), (3, 7), (4, 7), (4, 6), (5, 6), (5, 5), (6, 5), (6, 4), (6, 3), (6, 2), (6, 1)]",14,1.171875,91.796875
"[(5, 8), (4, 8), (3, 8), (2, 8)]",4,12.109375,50.0
"[(5, 9), (4, 9), (4, 8), (3, 8), (3, 7), (2, 7), (2, 6), (1, 6), (1, 5), (0, 5), (0, 4)]",11,1.953125,89.0625
"[(9, 9), (8, 9), (8, 8), (7, 8), (7, 7), (6, 7), (6, 6), (5, 6), (5, 5), (4, 5), (4, 4), (3, 4), (3, 3), (2, 3), (2, 2)]",15,3.125,92.578125
"[(9, 8), (8, 8), (7, 8)]",3,23.046875,0.0
"[(5, 5), (4, 5), (4, 6), (3, 6), (3, 7), (2, 7), (2, 8), (1, 8), (1, 9)]",9,2.734375,85.9375
"[(9, 7), (8, 7), (8, 6), (7, 6), (7, 5), (6, 5), (5, 5), (4, 5), (3, 5), (2, 5)]",10,2.734375,87.5
"[(6, 3), (6, 4), (6, 5)]",3,32.03125,0.0
"[(6, 2), (7, 2), (7, 1), (8, 1), (9, 1)]",5,9.375,66.796875
"[(7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7)]",6,6.25,75.0
"[(9, 5), (8, 5), (8, 4), (7, 4), (7, 3), (6, 3), (6, 2), (5, 2), (4, 2), (3, 2), (2, 2), (1, 2), (0, 2)]",13,1.5625,91.015625
"[(2, 4), (1, 4), (1, 5), (0, 5)]",4,12.890625,50.0
"[(8, 5), (9, 5), (9, 4), (9, 3), (9, 2), (9, 1), (9, 0)]",7,6.25,80.078125
"[(1, 9), (2, 9), (2, 8), (2, 7)]",4,14.453125,50.0
"[(3, 8), (3, 9)]",2,51.17187499999999,0.0
"[(0, 0), (1, 0), (1, 1), (2, 1), (2, 2), (3, 2), (3, 3), (4, 3), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4)]",13,2.34375,91.015625
"[(3, 9), (4, 9), (4, 8), (5, 8), (5, 7), (6, 7), (6, 6), (6, 5), (6, 4), (6, 3)]",10,2.734375,87.5
"[(0, 3), (1, 3), (1, 2), (2, 2), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1)]",12,3.125,90.234375
"[(2, 1), (3, 1), (3, 2), (4, 2), (4, 3), (5, 3), (5, 4), (6, 4), (6, 5), (7, 5), (7, 6), (8, 6), (8, 7), (8, 8), (8, 9)]",15,1.953125,92.578125
"[(7, 2), (6, 2), (6, 3), (5, 3), (5, 4), (4, 4), (4, 5), (3, 5), (3, 6), (3, 7)]",10,4.296875,87.5
"[(7, 4), (8, 4), (8, 3), (9, 3)]",4,11.71875,50.0
"[(3, 7), (2, 7), (2, 6), (1, 6), (1, 5), (1, 4), (1, 3)]",7,4.6875,80.078125
"[(8, 1), (7, 1), (7, 2), (6, 2), (6, 3), (5, 3), (4, 3)]",7,6.25,80.078125
"[(8, 4), (7, 4), (7, 5), (6, 5), (6, 6), (5, 6), (4, 6), (3, 6), (2, 6), (1, 6)]",10,2.734375,87.5
"[(2, 6), (3, 6), (3, 7), (4, 7), (4, 8), (5, 8), (6, 8)]",7,2.734375,80.078125
"[(7, 1), (7, 2), (7, 3), (7, 4), (7, 5)]",5,9.375,66.796875
"[(1, 6), (2, 6), (2, 7), (2, 8)]",4,9.765625,50.0
"[(9, 6), (8, 6), (8, 7), (7, 7), (6, 7)]",5,7.8125,66.796875
"[(6, 3), (7, 3), (7, 2), (8, 2), (8, 1), (8, 0)]",6,6.25,75.0
"[(2, 7), (2, 8)]",2,49.99999999999999,0.0
"[(5, 6), (4, 6), (4, 7), (3, 7), (2, 7)]",5,8.984375,66.796875
"[(2, 5), (3, 5), (3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (6, 8), (6, 9), (7, 9), (8, 9), (9, 9)]",12,1.5625,90.234375
"[(6, 2), (7, 2), (7, 1), (8, 1), (8, 0)]",5,8.203125,66.796875
"[(9, 5), (8, 5)]",2,46.87499999999999,0.0
"[(9, 6), (8, 6), (8, 5), (7, 5), (6, 5), (5, 5), (4, 5)]",7,5.078125,80.078125
"[(7, 4), (8, 4), (8, 3), (9, 3)]",4,16.015625,50.0
"[(7, 0), (6, 0), (6, 1), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6)]",9,4.296875,85.9375
"[(2, 7), (3, 7), (3, 6), (4, 6), (4, 5), (5, 5), (5, 4), (6, 4), (6, 3), (7, 3)]",10,3.515625,87.5
"[(1, 7), (2, 7), (2, 6), (3, 6), (3, 5), (3, 4)]",6,7.03125,75.0
"[(2, 4), (3, 4), (3, 5), (4, 5), (4, 6), (4, 7), (4, 8)]",7,4.296875,80.078125
"[(1, 4), (0, 4), (0, 3)]",3,23.828125,0.0
"[(7, 4), (6, 4), (6, 5), (6, 6), (6, 7), (6, 8), (6, 9)]",7,5.859375,80.078125
"[(5, 6), (6, 6), (7, 6), (8, 6)]",4,10.15625,50.0
"[(7, 1), (6, 1), (6, 0), (5, 0)]",4,11.328125,50.0
"[(6, 3), (5, 3), (5, 2), (4, 2), (4, 1), (3, 1), (2, 1)]",7,2.734375,80.078125
"[(5, 4), (4, 4), (4, 3), (3, 3), (3, 2), (2, 2), (2, 1), (1, 1), (1, 0), (0, 0)]",10,3.515625,87.5
"[(5, 7), (4, 7), (4, 6), (3, 6), (3, 5), (3, 4), (3, 3), (3, 2), (3, 1)]",9,4.6875,85.9375
"[(0, 7), (1, 7), (1, 6), (2, 6), (2, 5)]",5,8.203125,66.796875
"[(1, 7), (2, 7), (2, 6), (3, 6), (3, 5), (3, 4), (3, 3), (3, 2), (3, 1)]",9,5.078125,85.9375
"[(2, 8), (3, 8), (3, 7), (4, 7), (4, 6), (5, 6), (5, 5), (6, 5), (6, 4), (7, 4), (7, 3), (8, 3), (8, 2), (9, 2)]",14,1.953125,91.796875
"[(1, 4), (2, 4), (2, 5), (3, 5), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6)]",9,2.734375,85.9375
"[(8, 5), (7, 5), (6, 5), (5, 5)]",4,10.546875,50.0
"[(5, 3), (4, 3), (4, 2), (3, 2)]",4,14.453125,50.0
